order_id,category,region,sales,quantity,order_date
4001,Electronics,North,1200,2,2024-06-01
4002,Furniture,South,850,1,2024-06-01
4003,Clothing,West,450,3,2024-06-02
4004,Electronics,East,1500,1,2024-06-02
4005,Furniture,North,700,2,2024-06-03
4006,Clothing,South,300,2,2024-06-03
4007,Electronics,West,2200,3,2024-06-04
4008,Furniture,East,650,1,2024-06-04
4009,Clothing,North,500,4,2024-06-05
4010,Electronics,South,1800,2,2024-06-05
4011,Furniture,West,900,2,2024-06-06
4012,Clothing,East,350,1,2024-06-06
4013,Electronics,North,2100,2,2024-06-07
4014,Furniture,South,780,1,2024-06-07
4015,Clothing,West,400,2,2024-06-08
4016,Electronics,East,1700,1,2024-06-08
4017,Furniture,North,620,2,2024-06-09
4018,Clothing,South,320,1,2024-06-09
4019,Electronics,West,2500,3,2024-06-10
4020,Furniture,East,710,2,2024-06-10
